Date,ClarkSea Index $/day [SIN 60351]
1994-02-04,11032.44868
1994-02-11,10909.35716
1994-02-18,10981.50157
1994-02-25,11304.24471
1994-03-04,11428.19285
1994-03-11,11566.70744
1994-03-18,11532.65707
1994-03-25,11540.97651
1994-04-01,11526.85468
1994-04-08,11424.50883
1994-04-15,11590.6429
1994-04-22,11525.01645
1994-04-29,11307.20933
1994-05-06,11247.23661
1994-05-13,11122.13434
1994-05-20,11559.22571
1994-05-27,11214.8241
1994-06-03,10939.43173
1994-06-10,10776.82516
1994-06-17,10862.96161
1994-06-24,10870.34076
1994-07-01,11087.97451
1994-07-08,10860.58719
1994-07-15,10887.43914
1994-07-22,10838.07098
1994-07-29,10826.01695
1994-08-05,10820.62202
1994-08-12,11026.65711
1994-08-19,11213.91044
1994-08-26,11350.41741
1994-09-02,11403.36703
1994-09-09,11717.05113
1994-09-16,12002.09242
1994-09-23,12614.90994
1994-09-30,12596.06723
1994-10-07,12694.77504
1994-10-14,12630.52357
1994-10-21,12798.43568
1994-10-28,13105.51297
1994-11-04,13050.11545
1994-11-11,13444.00393
1994-11-18,13799.95416
1994-11-25,14088.62943
1994-12-02,14228.67428
1994-12-09,14456.0725
1994-12-16,15150.75004
1994-12-23,14753.73059
1994-12-30,14281.16286
1995-01-06,14468.20464
1995-01-13,13937.41987
1995-01-20,13894.78208
1995-01-27,14116.28012
1995-02-03,13764.40656
1995-02-10,13532.66585
1995-02-17,13353.98561
1995-02-24,13488.95655
1995-03-03,13738.92365
1995-03-10,13974.97413
1995-03-17,14274.3065
1995-03-24,13942.59971
1995-03-31,13878.07922
1995-04-07,13384.63522
1995-04-14,13381.25728
1995-04-21,13468.70747
1995-04-28,13506.88543
1995-05-05,13497.68967
1995-05-12,13538.33265
1995-05-19,13647.37978
1995-05-26,13863.53245
1995-06-02,13627.73702
1995-06-09,13622.47749
1995-06-16,13593.7407
1995-06-23,13963.17821
1995-06-30,13875.81076
1995-07-07,14110.99012
1995-07-14,14288.92626
1995-07-21,14301.38362
1995-07-28,14212.70161
1995-08-04,14077.43403
1995-08-11,14325.06615
1995-08-18,14390.88804
1995-08-25,14371.24995
1995-09-01,14371.58711
1995-09-08,14158.04168
1995-09-15,14028.28915
1995-09-22,13871.00561
1995-09-29,13631.25395
1995-10-06,13451.06786
1995-10-13,13245.59517
1995-10-20,13330.24158
1995-10-27,13191.44793
1995-11-03,13327.89161
1995-11-10,13523.75692
1995-11-17,13821.44569
1995-11-24,13990.9027
1995-12-01,13795.60229
1995-12-08,13681.81103
1995-12-15,13646.3477
1995-12-22,13736.90244
1995-12-29,13575.81491
1996-01-05,13600.90151
1996-01-12,13436.04433
1996-01-19,13614.78224
1996-01-26,13572.1107
1996-02-02,13482.67768
1996-02-09,13193.00154
1996-02-16,12963.66948
1996-02-23,12688.70779
1996-03-01,12581.08801
1996-03-08,12646.97503
1996-03-15,12460.86484
1996-03-22,12550.92033
1996-03-29,12410.60121
1996-04-05,12177.23182
1996-04-12,11845.22454
1996-04-19,11759.93574
1996-04-26,11568.65882
1996-05-03,11530.8483
1996-05-10,11565.57611
1996-05-17,11779.54625
1996-05-24,12159.84943
1996-05-31,12265.99182
1996-06-07,12193.98959
1996-06-14,12240.35311
1996-06-21,12109.9972
1996-06-28,11968.24202
1996-07-05,11633.57209
1996-07-12,11655.92131
1996-07-19,11684.91065
1996-07-26,11577.67413
1996-08-02,11367.62564
1996-08-09,11185.56357
1996-08-16,11217.6852
1996-08-23,11508.25226
1996-08-30,11385.90982
1996-09-06,11027.38122
1996-09-13,10990.30225
1996-09-20,11076.0506
1996-09-27,10907.02188
1996-10-04,11287.37423
1996-10-11,11799.06581
1996-10-18,12359.96304
1996-10-25,12763.0959
1996-11-01,12736.51133
1996-11-08,13097.99667
1996-11-15,13026.53791
1996-11-22,12993.6491
1996-11-29,12749.72026
1996-12-06,12821.29795
1996-12-13,13155.61268
1996-12-20,12982.78558
1996-12-27,12981.4971
1997-01-03,13555.38231
1997-01-10,13895.67134
1997-01-17,15101.9759
1997-01-24,15110.87235
1997-01-31,14342.9892
1997-02-07,14307.49718
1997-02-14,14259.50568
1997-02-21,13759.19326
1997-02-28,13835.90838
1997-03-07,13432.44505
1997-03-14,13645.52316
1997-03-21,13709.80312
1997-03-28,13724.48909
1997-04-04,13575.53568
1997-04-11,13353.12495
1997-04-18,13082.6303
1997-04-25,12843.24097
1997-05-02,12849.00351
1997-05-09,13008.54667
1997-05-16,13326.71008
1997-05-23,13561.55222
1997-05-30,13882.66798
1997-06-06,13630.29872
1997-06-13,13864.88407
1997-06-20,13649.76115
1997-06-27,13323.38603
1997-07-04,12867.99039
1997-07-11,12758.23636
1997-07-18,12691.80136
1997-07-25,12428.07953
1997-08-01,12382.15156
1997-08-08,12499.23367
1997-08-15,12858.49454
1997-08-22,13074.05523
1997-08-29,13471.68097
1997-09-05,13404.774
1997-09-12,13421.36452
1997-09-19,13333.41115
1997-09-26,13568.25804
1997-10-03,13707.31143
1997-10-10,13982.46117
1997-10-17,14394.0185
1997-10-24,14550.20677
1997-10-31,14310.88794
1997-11-07,13632.48665
1997-11-14,13136.29506
1997-11-21,12493.86641
1997-11-28,12314.05465
1997-12-05,12450.16483
1997-12-12,12267.05459
1997-12-19,12038.59537
1997-12-26,11963.58381
1998-01-02,11706.64752
1998-01-09,12159.89937
1998-01-16,12192.88367
1998-01-23,12074.96297
1998-01-30,12000.66262
1998-02-06,12048.28683
1998-02-13,12114.75367
1998-02-20,12102.27641
1998-02-27,12100.40653
1998-03-06,12101.4003
1998-03-13,11865.09853
1998-03-20,12132.14537
1998-03-27,12147.83716
1998-04-03,11865.82947
1998-04-10,11444.46728
