船名,DWT,建造年,船厂,建造国,现船东/管理人,Eco标识,来源
GCL Leader,81946,2021,Sanoyas Shipbuilding,日本,Yamamaru Kisen,Eco-Electronic Engine Modern,SIN Fleet Register(Fleet>Vessel Type>Panamax Bulker;Built 2019-21;80-85.5k dwt) 2026-09-12
Aristo Ocean,82577,2021,Tsuneishi Zosen,日本,Kotoku Kaiun KK,Eco-Electronic Engine Modern,同上
CL Geneva,85229,2021,Chengxi Shipyard,中国,Mitsui OSK Lines,Eco-Electronic Engine Modern,同上
Ionian Sea,82561,2021,Tsuneishi Zhoushan,中国,Primerose Shipping,Eco-Electronic Engine Modern,同上
Buzzard,82561,2021,Tsuneishi Zhoushan,中国,"Blumenthal, Johann",Eco-Electronic Engine Modern,同上
