船名,DWT,建造年,船厂,建造国,现船东/管理人,Eco标识,来源
Forever Confidence,49999,2021,GSI Nansha,中国,CMG Nanjing Tanker,Eco-Electronic Engine Modern,SIN Fleet Register(Fleet>Vessel Type>MR/Handy Products Tanker;Built 2019-21;47-53k dwt) 2026-09-12
Grand Winner 1,50301,2021,HD Hyundai Vietnam,越南,Pan Ocean,Eco-Electronic Engine Modern,同上
Clearocean Hickory,49999,2021,HD Hyundai Mipo,韩国,E4C Shipping,Eco-Electronic Engine Modern,同上
Nord Mirai,49995,2021,Minaminippon (Ozai),日本,Shoei Kisen Kaisha,Eco-Electronic Engine Modern,同上
Aquasmeralda,50295,2021,Jiangsu New YZJ,中国,Chandris (Hellas),Eco-Electronic Engine Modern,同上
