Date,Total Crude Tanker Demolition m.dwt [1989676],Total Product Tanker 10k+ Demolition m.dwt [39652]
2014-07-01,0.43,0.15185
2014-08-01,0.267,0.14375
2014-09-01,0.103,0.03967
2014-10-01,0.872,0.03741
2014-11-01,0.594,0.16329
2014-12-01,,0.06494
2015-01-01,,0.11184
2015-02-01,0.753,0.12504
2015-03-01,0.175,0.13962
2015-04-01,0.183,0.06095
2015-05-01,,0.06917
2015-06-01,,0.06816
2015-07-01,,0.04314
2015-08-01,,0.08926
2015-09-01,,0.04571
2015-10-01,0.179,0.07245
2015-11-01,,0
2015-12-01,0.144,0.01276
2016-01-01,,0.04762
2016-02-01,,0.08662
2016-03-01,0.108,0.1114
2016-04-01,0.116,0.20285
2016-05-01,0.105,0.06662
2016-06-01,0.24,0.01877
2016-07-01,,0.01255
2016-08-01,,0.04145
2016-09-01,0.102,0.04555
2016-10-01,0.329,0.0783
2016-11-01,0.314,0
2016-12-01,0.163,0.09791
2017-01-01,0.333,0.0385
2017-02-01,0.16,0.04454
2017-03-01,0.183,0.09605
2017-04-01,0.367,0
2017-05-01,0.186,0.08366
2017-06-01,0.358,0.24449
2017-07-01,1.411,0.0468
2017-08-01,2.271,0.47183
2017-09-01,1.501,0.13184
2017-10-01,0.51,0.15819
2017-11-01,0.877,0.44091
2017-12-01,1.632,0.10835
2018-01-01,1.051,0.48344
2018-02-01,2.521,0.13065
2018-03-01,3.96,0.15687
2018-04-01,1.438,0.3043
2018-05-01,1.909,0.50237
2018-06-01,3.085,0
2018-07-01,1.178,0.14082
2018-08-01,0.535,0.08746
2018-09-01,0.787,0.12849
2018-10-01,0.954,0.17168
2018-11-01,0.398,0.47698
2018-12-01,0.746,0.18794
2019-01-01,0.137,0.06856
2019-02-01,,0.10075
2019-03-01,,0
2019-04-01,0.968,0.08573
2019-05-01,0.313,0.06572
2019-06-01,0.333,0.09017
2019-07-01,,0.046
2019-08-01,0.11,0.08811
2019-09-01,0.167,0.10477
2019-10-01,,0.08863
2019-11-01,0.235,0.15551
2019-12-01,0.139,0.07834
2020-01-01,0.136,0.15108
2020-02-01,,0.16552
2020-03-01,,0.06221
2020-04-01,,0
2020-05-01,,0
2020-06-01,,0.09175
2020-07-01,0.14,0.01808
2020-08-01,0.116,0.09459
2020-09-01,0.349,0.01763
2020-10-01,,0.14597
2020-11-01,0.553,0.06044
2020-12-01,1.003,0.15437
2021-01-01,0.205,0.04343
2021-02-01,0.114,0.11224
2021-03-01,1.198,0.48791
2021-04-01,0.533,0.37301
2021-05-01,1.153,0.52047
2021-06-01,0.288,0.37696
2021-07-01,0.72,0.28934
2021-08-01,0.983,0.29914
2021-09-01,1.877,0.27502
2021-10-01,0.869,0.49252
2021-11-01,0.621,0.22941
2021-12-01,1.643,0.04716
2022-01-01,,0.0467
2022-02-01,0.875,0.44764
2022-03-01,0.115,0.22708
2022-04-01,1.172,0.22823
2022-05-01,0.117,0.11366
2022-06-01,,0
2022-07-01,,0.10939
2022-08-01,0.325,0.04609
2022-09-01,0.264,0.04711
2022-10-01,0.332,0
2022-11-01,,0.04544
2022-12-01,,0
2023-01-01,,0
2023-02-01,,0.0376
2023-03-01,,0.13805
2023-04-01,,0.01187
2023-05-01,,0
2023-06-01,,0
2023-07-01,,0
2023-08-01,,0.01501
2023-09-01,,0
2023-10-01,0.393,0
2023-11-01,,0
2023-12-01,,0.05937
2024-01-01,,0
2024-02-01,,0
