Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
1993-10-08,8468.99918,
1993-10-15,8205.60674,
1993-10-22,8951.62588,
1993-10-29,9255.45437,
1993-11-05,9108.37888,
1993-11-12,9631.76886,
1993-11-19,10633.5478,
1993-11-26,10869.47455,
1993-12-03,11140.72363,
1993-12-10,11398.39442,
1993-12-17,11025.33139,
1993-12-24,11496.39525,
1993-12-31,11296.22447,
1994-01-07,11328.74264,
1994-01-14,11074.38396,
1994-01-21,10580.87685,
1994-01-28,11245.50251,
1994-02-04,11114.9526,
1994-02-11,10989.59513,
1994-02-18,10641.00383,
1994-02-25,11577.35118,
1994-03-04,11684.38038,
1994-03-11,11964.40882,
1994-03-18,11565.43525,
1994-03-25,10917.94652,
1994-04-01,11031.32201,
1994-04-08,10477.10006,
1994-04-15,10729.78637,
1994-04-22,10601.64568,
1994-04-29,10331.72682,
1994-05-06,10141.45158,
1994-05-13,9830.16907,
1994-05-20,9769.52506,
1994-05-27,10001.38142,
1994-06-03,9656.39157,
1994-06-10,9392.77723,
1994-06-17,9861.09833,
1994-06-24,10075.25818,
1994-07-01,10446.43281,
1994-07-08,9902.23882,
1994-07-15,9783.84866,
1994-07-22,9793.65212,
1994-07-29,9894.46629,
1994-08-05,9645.04043,
1994-08-12,9801.85084,
1994-08-19,9894.63834,
1994-08-26,10217.27837,
1994-09-02,9945.28235,
1994-09-09,10023.5348,
1994-09-16,10836.12171,
1994-09-23,11850.13713,
1994-09-30,11105.99999,
1994-10-07,10852.56076,
1994-10-14,10440.34685,
1994-10-21,10311.42952,
1994-10-28,10686.38863,
1994-11-04,10628.26206,
1994-11-11,10559.42336,
1994-11-18,10993.32313,
1994-11-25,12652.27881,
1994-12-02,14041.72554,
1994-12-09,15536.1284,
1994-12-16,18490.83601,
1994-12-23,17511.66082,
1994-12-30,15971.38567,
1995-01-06,15470.96589,
1995-01-13,14258.82649,
1995-01-20,14515.04587,
1995-01-27,14696.24864,
1995-02-03,14311.0884,
1995-02-10,14655.25165,
1995-02-17,13820.99622,
1995-02-24,14012.96105,
1995-03-03,14269.54075,
1995-03-10,14052.45525,
1995-03-17,13974.07698,
1995-03-24,12347.99241,
1995-03-31,11932.0015,
1995-04-07,10927.67939,
1995-04-14,9988.45982,
