船名,DWT,建造年,船厂,建造国,现船东/管理人,Eco标识,来源
Oshima Japan,62661,2021,Oshima Shipbuilding,日本,Nisshin Shipping,Eco-Electronic Engine Modern,SIN Fleet Register(Fleet>Vessel Type>Handymax Bulker;Built 2019-21;60-66.5k dwt) 2026-09-12
Pavo Brave,64247,2021,SK Onishi(大西造船),日本,MMS Co Ltd(Meiji),Eco-Electronic Engine Modern,同上
Eva Paris,63500,2021,Nantong Xiangyu SOE,中国,Nisshin Shipping,Eco-Electronic Engine Modern,同上
Beltrader,61043,2021,Dalian COSCO KHI,中国,Belships,Eco-Electronic Engine Modern,同上
Othrys,63596,2021,Tsuneishi Cebu,菲律宾,Helikon Shpg. Ent.,Eco-Electronic Engine Modern,同上
