船名,DWT,建造年,船厂,建造国,现船东/管理人,Eco标识,来源
Sea Turtle,114085,2021,Shanghai Waigaoqiao,中国,Pantheon Tankers,Eco-Electronic Engine Modern,SIN Fleet Register(Fleet>Vessel Type>Aframax Crude Tanker;Built 2018-21;105-118k dwt) 2026-09-12
Ebn Hawkel,112003,2021,Sumitomo (Yokosuka),日本,GNMTC,Eco-Electronic Engine Modern,同上
Carina Voyager,115590,2021,Daehan Shipbuilding,韩国,Sun Enterprises,Eco-Electronic Engine Modern,同上
Aigeorgis,116092,2021,New Times SB,中国,Chartworld Shipping,Eco-Electronic Engine Modern,同上
Calypso,111930,2021,Sumitomo (Yokosuka),日本,JHI Steamship,Eco-Electronic Engine Modern,同上
